regione,peso,stat,n_anni_6190,n_anni_9120,media_1961_1990,media_1991_2020,t_2003,t_2026,mese,giorni,vs_1961_1990,vs_1991_2020,vs_2003
Lazio,pop,mean,30,30,19.823950707120137,21.327610010387783,24.849541647515153,24.735841906826373,6,1-30,4.911891199706236,3.40823189643859,-0.11369974068878008
Lazio,pop,min,30,30,14.809989747408649,15.997559497269691,18.849170973503423,18.970090288400996,6,1-30,4.160100540992348,2.9725307911313053,0.12091931489757357
Liguria,area,max,30,30,19.917401427226874,21.374999889025037,24.946910995044643,25.07439782983133,6,1-30,5.156996402604456,3.6993979408062927,0.1274868347866871
Liguria,area,mean,30,30,16.804791207677997,18.211504408241787,21.566730898843545,21.646679544272782,6,1-30,4.841888336594785,3.4351751360309954,0.07994864542923708
Liguria,area,min,30,30,13.34480821593931,14.673984762126366,17.81206633245904,17.802720747416632,6,1-30,4.457912531477323,3.128735985290266,-0.009345585042407123
Liguria,pop,max,30,30,20.605448801055605,22.007209402110757,25.400842435945282,25.545089390209835,6,1-30,4.93964058915423,3.5378799880990783,0.14424695426455258
Liguria,pop,mean,30,30,17.85216189014675,19.22501938588017,22.480295937009075,22.531127559722187,6,1-30,4.678965669575437,3.3061081738420164,0.05083162271311181
Liguria,pop,min,30,30,14.654364204775742,15.971862661245126,19.020660788814663,19.000476023586934,6,1-30,4.346111818811192,3.028613362341808,-0.020184765227728718
Lombardia,area,max,30,30,20.787052717879554,22.846721120501204,27.854481629441224,26.862486062706125,6,1-30,6.075433344826571,4.015764942204921,-0.991995566735099
Lombardia,area,mean,30,30,16.286284171977414,18.269833166317472,22.539836683447867,21.8821651138197,6,1-30,5.595880941842285,3.612331947502227,-0.6576715696281674
