nace_r2,unit,anno,valore
C18,CLV15_MEUR,2015,4085.2
C18,CLV15_MEUR,2016,4556.9
C18,CLV15_MEUR,2017,4506.5
C18,CLV15_MEUR,2018,4594.9
C18,CLV15_MEUR,2019,4392.1
C18,CLV15_MEUR,2020,3486.4
C18,CLV15_MEUR,2021,3830
C18,CLV15_MEUR,2022,3877.9
C18,CLV15_MEUR,2023,3403.2
C18,CLV15_MEUR,2024,NA
C18,CLV15_MEUR,2025,NA
C18,CP_MEUR,1975,NA
C18,CP_MEUR,1976,NA
C18,CP_MEUR,1977,NA
C18,CP_MEUR,1978,NA
C18,CP_MEUR,1979,NA
C18,CP_MEUR,1980,NA
C18,CP_MEUR,1981,NA
C18,CP_MEUR,1982,NA
C18,CP_MEUR,1983,NA
C18,CP_MEUR,1984,NA
C18,CP_MEUR,1985,NA
C18,CP_MEUR,1986,NA
C18,CP_MEUR,1987,NA
C18,CP_MEUR,1988,NA
C18,CP_MEUR,1989,NA
C18,CP_MEUR,1990,NA
