branca,codice,misura,anno,valore_migliaia
"Apparecchiature elettriche",C27,unita_di_lavoro,2001,172.7
"Apparecchiature elettriche",C27,unita_di_lavoro,2002,174.8
"Apparecchiature elettriche",C27,unita_di_lavoro,2003,178.6
"Apparecchiature elettriche",C27,unita_di_lavoro,2004,178.2
"Apparecchiature elettriche",C27,unita_di_lavoro,2005,178.5
"Apparecchiature elettriche",C27,unita_di_lavoro,2006,180.1
"Apparecchiature elettriche",C27,unita_di_lavoro,2007,179.2
"Apparecchiature elettriche",C27,unita_di_lavoro,2008,175.5
"Apparecchiature elettriche",C27,unita_di_lavoro,2009,157.4
"Apparecchiature elettriche",C27,unita_di_lavoro,2010,156.1
"Apparecchiature elettriche",C27,unita_di_lavoro,2011,154.1
"Apparecchiature elettriche",C27,unita_di_lavoro,2012,148.7
"Apparecchiature elettriche",C27,unita_di_lavoro,2013,141.6
"Apparecchiature elettriche",C27,unita_di_lavoro,2014,142.2
"Apparecchiature elettriche",C27,unita_di_lavoro,2015,135.7
"Apparecchiature elettriche",C27,unita_di_lavoro,2016,137.6
"Apparecchiature elettriche",C27,unita_di_lavoro,2017,139.5
"Apparecchiature elettriche",C27,unita_di_lavoro,2018,138.7
"Apparecchiature elettriche",C27,unita_di_lavoro,2019,138.9
"Apparecchiature elettriche",C27,unita_di_lavoro,2020,124.3
"Apparecchiature elettriche",C27,unita_di_lavoro,2021,137.4
"Apparecchiature elettriche",C27,unita_di_lavoro,2022,137.7
"Apparecchiature elettriche",C27,unita_di_lavoro,2023,131.1
"Apparecchiature elettriche",C27,unita_di_lavoro,2024,134.7
"Apparecchiature elettriche",C27,unita_di_lavoro,2025,134.1
"Macchinari",C28,unita_di_lavoro,1995,372.1
"Macchinari",C28,unita_di_lavoro,1996,376.8
"Macchinari",C28,unita_di_lavoro,1997,382.6
"Macchinari",C28,unita_di_lavoro,1998,395.6
