DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,AGE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_AGE,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:26_295(1.0),A,ITC4,LIFEXP,9,Y0,2016-01-01,83.336,,,,,,,,,,
IT1:26_295(1.0),A,ITD,LIFEXP,1,Y0,2016-01-01,81.06,,,,,,,,,,
IT1:26_295(1.0),A,ITD,LIFEXP,2,Y0,2016-01-01,85.666,,,,,,,,,,
IT1:26_295(1.0),A,ITD,LIFEXP,9,Y0,2016-01-01,83.31,,,,,,,,,,
IT1:26_295(1.0),A,ITD10,LIFEXP,1,Y0,2016-01-01,81.151,,,,,,,,,,
IT1:26_295(1.0),A,ITD10,LIFEXP,2,Y0,2016-01-01,85.854,,,,,,,,,,
IT1:26_295(1.0),A,ITD10,LIFEXP,9,Y0,2016-01-01,83.449,,,,,,,,,,
IT1:26_295(1.0),A,ITDA,LIFEXP,1,Y0,2016-01-01,81.214,,,,,,,,,,
IT1:26_295(1.0),A,ITDA,LIFEXP,2,Y0,2016-01-01,86.176,,,,,,,,,,
IT1:26_295(1.0),A,ITDA,LIFEXP,9,Y0,2016-01-01,83.637,,,,,,,,,,
IT1:26_295(1.0),A,ITE,LIFEXP,1,Y0,2016-01-01,80.852,,,,,,,,,,
IT1:26_295(1.0),A,ITE,LIFEXP,2,Y0,2016-01-01,85.184,,,,,,,,,,
IT1:26_295(1.0),A,ITE,LIFEXP,9,Y0,2016-01-01,82.968,,,,,,,,,,
IT1:26_295(1.0),A,ITF,LIFEXP,1,Y0,2016-01-01,79.909,,,,,,,,,,
IT1:26_295(1.0),A,ITF,LIFEXP,2,Y0,2016-01-01,84.396,,,,,,,,,,
IT1:26_295(1.0),A,ITF,LIFEXP,9,Y0,2016-01-01,82.099,,,,,,,,,,
IT1:26_295(1.0),A,ITF3,LIFEXP,1,Y0,2016-01-01,78.888,,,,,,,,,,
IT1:26_295(1.0),A,ITF3,LIFEXP,2,Y0,2016-01-01,83.442,,,,,,,,,,
IT1:26_295(1.0),A,ITF3,LIFEXP,9,Y0,2016-01-01,81.111,,,,,,,,,,
IT1:26_295(1.0),A,ITF6,LIFEXP,1,Y0,2016-01-01,80.035,,,,,,,,,,
IT1:26_295(1.0),A,ITF6,LIFEXP,2,Y0,2016-01-01,84.669,,,,,,,,,,
IT1:26_295(1.0),A,ITF6,LIFEXP,9,Y0,2016-01-01,82.297,,,,,,,,,,
IT1:26_295(1.0),A,ITG1,LIFEXP,1,Y0,2016-01-01,79.75,,,,,,,,,,
IT1:26_295(1.0),A,ITG1,LIFEXP,2,Y0,2016-01-01,83.925,,,,,,,,,,
IT1:26_295(1.0),A,ITG1,LIFEXP,9,Y0,2016-01-01,81.788,,,,,,,,,,
IT1:26_295(1.0),A,IT,LIFEXP,1,Y0,2017-01-01,80.511,,,,,,,,,,
IT1:26_295(1.0),A,IT,LIFEXP,2,Y0,2017-01-01,84.85,,,,,,,,,,
IT1:26_295(1.0),A,IT,LIFEXP,9,Y0,2017-01-01,82.63,,,,,,,,,,
IT1:26_295(1.0),A,ITC,LIFEXP,1,Y0,2017-01-01,80.874,,,,,,,,,,
IT1:26_295(1.0),A,ITC,LIFEXP,2,Y0,2017-01-01,85.187,,,,,,,,,,
IT1:26_295(1.0),A,ITC,LIFEXP,9,Y0,2017-01-01,82.981,,,,,,,,,,
IT1:26_295(1.0),A,ITC4,LIFEXP,1,Y0,2017-01-01,81.169,,,,,,,,,,
IT1:26_295(1.0),A,ITC4,LIFEXP,2,Y0,2017-01-01,85.487,,,,,,,,,,
IT1:26_295(1.0),A,ITC4,LIFEXP,9,Y0,2017-01-01,83.279,,,,,,,,,,
IT1:26_295(1.0),A,ITD,LIFEXP,1,Y0,2017-01-01,81.194,,,,,,,,,,
IT1:26_295(1.0),A,ITD,LIFEXP,2,Y0,2017-01-01,85.585,,,,,,,,,,
IT1:26_295(1.0),A,ITD,LIFEXP,9,Y0,2017-01-01,83.338,,,,,,,,,,
IT1:26_295(1.0),A,ITD10,LIFEXP,1,Y0,2017-01-01,81.372,,,,,,,,,,
IT1:26_295(1.0),A,ITD10,LIFEXP,2,Y0,2017-01-01,86.161,,,,,,,,,,
